Random waveform, random seed
Total number of intervals = 150 (62158, 81772, 67243, 37084, 98934, 76081, 89455, 76784, 22952, 5348, 59225, 88679, 60615, 79450, 87778, 10993, 35768, 22400, 35400, 5390, 16951, 41611, 83538, 97549, 62132, 19572, 95280, 37221, 23880, 8044, 59130, 15567, 46346, 52899, 78627, 21218, 29355, 65513, 25168, 92027, 73686, 14540, 85452, 71130, 91032, 86182, 82554, 88864, 32307, 93711, 65859, 52148, 86481, 67945, 58895, 55186, 46583, 40489, 42797, 69423, 93836, 75931, 37776, 43390, 66238, 49113, 6116, 61118, 79367, 17990, 15022, 7760, 40801, 52421, 30301, 7528, 35745, 7987, 57133, 77166, 79081, 63861, 6367, 89295, 50882, 8221, 87361, 34222, 77196, 7672, 86731, 94632, 68248, 23275, 11104, 98727, 98743, 93323, 12994, 38580, 58446, 7550, 28721, 46490, 93943, 77554, 36669, 63859, 77007, 67421, 81740, 98710, 19258, 48034, 24185, 98968, 69191, 93035, 11619, 95889, 99225, 17125, 19808, 72808, 86811, 14433, 80863, 75342, 11581, 30506, 38210, 25960, 17985, 25650, 28978, 8845, 37380, 40435, 76928, 76026, 18513, 68834, 75728, 38015, 78065, 90302, 69484, 72460, 22639, 53068)
Average QPS expected = 53626
Timestamp start: 1622120921311
Timestamp end: 1622122421678

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      564.2  1447.9    59.1   112.0   136.0   317.9   398.7   455.0   503.8   578.0   720.5  1807.4  5855.6 29596.4 37218.6  65729.7    65859
read      608.7  1567.3    59.1   107.7   128.8   307.3   396.0   457.3   514.1   615.7  1214.3  1900.1  5885.8 30427.2 37499.5  52163.7    52148
read      520.0  1258.5    59.1   119.2   149.8   331.5   400.8   450.4   494.4   557.8   648.6   892.3  5774.5 15011.7 36232.7  86652.9    86481
read      550.2  1379.0    59.1   111.7   136.0   316.7   396.1   450.8   498.5   571.0   707.4  1800.3  5813.9 26113.0 36993.9  67900.6    67945
read      597.0  1543.5    63.8   110.3   133.2   313.8   397.0   454.9   506.4   590.1   861.9  1901.8  5913.1 30302.0 37506.4  58817.1    58895
read      409.8   798.8    59.1   106.1   126.3   307.2   384.0   430.1   466.6   514.4   583.6   772.5  2189.4  8398.1 32111.5  55273.7    55186
read      345.7   303.4    59.1   105.3   125.9   304.5   378.7   423.6   457.9   500.3   557.9   664.9  1435.9  2861.1  8823.6  46668.2    46583
read      366.7   644.4    63.8    98.2   112.6   256.3   341.2   396.6   445.3   518.2   663.3   986.7  1898.4  5955.7 30750.6  40545.8    40489
read      353.5   707.6    63.8    97.3   111.5   245.0   327.5   378.7   421.5   479.8   588.9   936.0  1879.0  8510.0 31019.1  42739.5    42797
read      474.7  1040.3    63.8   106.4   126.0   284.6   363.2   416.7   462.6   536.0   708.2  1817.0  3357.6 10457.0 36250.9  69384.7    69423
read      620.1  1620.8    63.8   153.8   205.0   364.7   432.2   488.4   547.2   622.4   709.0   919.9  8323.3 28922.7 37184.6  93831.3    93836
read      544.9  1361.7    63.8   114.3   140.6   310.9   385.4   439.1   488.3   562.0   686.7  1881.9  5673.7 19923.2 36369.2  75879.5    75931
read      339.9   626.0    59.1    97.4   111.4   242.6   326.4   378.2   420.3   476.1   576.4   868.9  1885.7  5694.3 30949.5  37838.0    37776
read      357.1   664.2    63.8    97.6   112.0   246.9   330.8   383.3   428.1   494.4   612.5   933.4  2002.3  6124.1 31690.4  43420.0    43390
read      460.7   952.5    59.1   103.9   122.7   279.3   360.1   413.4   459.7   531.6   711.8  1794.8  3142.8  9742.6 32197.9  66337.4    66238
read      428.5  1083.5    63.8   100.6   116.7   267.9   350.7   403.5   452.9   528.5   724.2  1322.7  2141.7 13656.9 37166.6  49126.8    49113
read      321.6  1083.0    68.9   117.7   136.8   231.4   273.5   301.1   321.4   347.4   382.9   443.6  1882.5 14822.1 36503.7   6117.7     6116
read      445.9   929.4    59.1   101.6   119.0   272.6   354.3   407.0   453.9   525.4   706.3  1670.0  2747.5  9656.6 35344.0  60890.9    61118
read      627.9  1646.1    59.1   129.4   164.4   341.4   416.3   471.7   528.2   609.6   727.7  1993.3  6674.6 30342.7 39268.4  79370.3    79367
read      367.4   616.0    63.8    99.5   114.1   277.3   379.4   451.9   513.2   588.5   688.8   853.5  1251.6  5553.0 31362.0  17989.5    17990
read      314.7   360.2    63.8   100.7   115.6   265.5   341.2   390.7   428.1   473.7   539.9   659.3   952.1  3465.5 13951.9  14989.8    15022
read      290.9   588.1    68.9   113.4   132.3   244.2   290.4   317.8   340.0   368.1   408.7   475.7   850.2  6786.7 30785.6   7773.3     7760
read      373.2   808.3    63.8    99.3   113.5   248.8   338.0   396.9   450.4   531.7   676.9   958.5  2081.3  8053.4 31973.6  40655.2    40801
read      468.9  1124.5    63.8   101.1   117.3   265.9   349.5   410.2   467.1   576.9   988.6  1535.4  2763.3 16474.6 32340.7  52390.1    52421
read      344.7   722.6    63.8    97.6   110.5   244.2   334.9   391.5   437.0   501.2   607.7   800.6  1970.3  8020.6 32154.0  30452.3    30301
read      316.7   823.2    68.9   114.0   134.4   242.3   289.8   319.4   342.6   372.0   409.6   477.7  2103.4  9253.7 32047.3   7543.3     7528
